model,seed,n,accuracy,macro_f1
feat,42,121,0.5619834710743802,0.5434240317775572
feat,0,121,0.6611570247933884,0.6613094713062531
feat,1,121,0.6528925619834711,0.6454968884404563
feat,123,121,0.5619834710743802,0.5502148962148962
feat,7,121,0.5867768595041323,0.5765496029877915
lstm,42,121,0.5206611570247934,0.519212346140496
lstm,0,121,0.3884297520661157,0.3237496160893003
lstm,1,121,0.4132231404958678,0.3144254651286818
lstm,123,121,0.4628099173553719,0.37350344153526327
lstm,7,121,0.4297520661157025,0.3714783162250338
lgbm,42,121,0.371900826446281,0.3551831907929469
lgbm,0,121,0.4132231404958678,0.39265374041938095
lgbm,1,121,0.4462809917355372,0.4408637376031471
lgbm,123,121,0.5041322314049587,0.49167605972856177
lgbm,7,121,0.47107438016528924,0.44453568444921826
cnn,42,121,0.36363636363636365,0.3418332709991101
cnn,0,121,0.33884297520661155,0.3288671544089334
cnn,1,121,0.4049586776859504,0.38795019261167984
cnn,123,121,0.3884297520661157,0.3423021354290704
cnn,7,121,0.35537190082644626,0.3071679018533768
bert,42,121,0.19834710743801653,0.06620689655172414
bert,0,121,0.30578512396694213,0.20956937799043063
bert,1,121,0.2975206611570248,0.2035623409669211
bert,123,121,0.2892561983471074,0.19386401326699834
bert,7,121,0.19834710743801653,0.06620689655172414
